userName,at,content
Ka rin369,2024-09-30 02:37:52,Maaf sebelumnya tolong dikasih saran kenapa setiap saya mau login ke akun saya pasti gak bisa bagaimna caranya agar lebih mudah
Fitria Apriyanti,2024-09-30 02:36:40,Fitur archive di hilangkan padahal sengaja menyimpan memory
M Taqi,2024-09-30 02:33:53,"keren sih kemaren saya sempat berlangganan centang biru setahun, dan sekarang udh berhenti krna lebih milih duitnya di tabung buat nikah 😂"
Lia Skm,2024-09-30 02:33:32,👍👍👍👍👍👍👍👍🥰🥰🥰😊😊😊😊
Nani Nanda,2024-09-30 02:32:18,Lumayan keren 🤩
Zahra khairunisa salsabila142,2024-09-30 02:30:23,"napa susah banget dah mau ganti sampul highlight, dah coba berkali kali tetep aja gabisa"
Rhy Adry,2024-09-30 02:29:06,Instagram udh gabisa nyari filter lagi kah? mau cari filter yg JJ tp udh gatau dmna tempatnya😌 pdhl aku punya Ig cma buat pake itu😔💔
Darma,2024-09-30 02:21:58,Keren
Shankara Maulana,2024-09-30 02:20:14,Keren
Hadi Wijaya,2024-09-30 02:15:48,Lumayan
Ikbaludin Ikbaludin,2024-09-30 02:14:31,Sangat bagus
Radit Dadisapi,2024-09-30 02:09:50,🙂
Kian Ji,2024-09-30 02:03:04,Bagus
fanynda maulidina,2024-09-30 01:55:50,"y, ok"
Fidia Novita Rahmawati,2024-09-30 01:52:47,"kenapa saat membuat reels kita sendiri di Instagram tidak ada fitur menyimpan ke galeri, padahal dulu masih bisa sekarang udah ga ada,mohon di perbaiki."
Muhammad jibril ardan A.A,2024-09-30 01:50:01,sangat bagus
Muhammad Saimuri,2024-09-30 01:45:05,Sangat bermanfaat sekali dan sangat menarik untuk diketahui oleh orang lain 2013-2024 semangat terus kerja nya keren banget mantap jangkauan luas
kiranasaraa,2024-09-30 01:44:16,"makin kesini Ig gajelas, masa akun aku jadi ilang gara"" katanya harus ""ajukan banding"" pas udah ikutin langkah"" nya ujung""nya disuruh log out, baru bikin akun lagi tetep kaya gitu juga, bad bgt makin lama."
Indy Zaky,2024-09-30 01:43:39,"plisss arsip story ig jgn ilang dongggggg banyak kenangannyaaa, tenders aj yg diilangin g penting itu, trs komen yg bs muncul dipostingan ilangin ajaaaaaaa"
Erly Setyandari,2024-09-30 01:40:44,Instagram isbthe best
Ni Kadek Ayu Shri Angelia No:24,2024-09-30 01:37:25,"MINNN KENAPA AKUN IG SAYA DI BATASII MINN KAN CUMA NGEFOLLOW/FB DOANG, min tolong dong jangan dibatasi kira kira berapa hari lagi dibatasinya minn ga bisa ngfb orangg:("
Sultoni,2024-09-30 01:32:57,bagus
Eriucky Dhiela,2024-09-30 01:28:49,Bagus sekali
Sugis No,2024-09-30 01:19:55,Mantaf
Atmiati Eti,2024-09-30 01:19:52,Instagram apa ?apa artinya.........
Sigitletsoin 1996,2024-09-30 01:19:07,Like
Samsung a05,2024-09-30 01:18:08,Bagus
Adit Ia,2024-09-30 01:07:49,very useful
Sutra Ungu,2024-09-30 01:06:48,Oke good
iwan iwan,2024-09-30 01:03:26,Bagus sekali membantu saya untuk mencari informasi
Violin Angela,2024-09-30 01:02:39,PLSSS JANGAN HILANGIN FITURRR ARSIPPPP😣😣😣😣 FITUR YG LAIN DIHILANGIN GAPAPAAAAAAA
Ovie Sweet (DEVIE YUNITA LUSIANNA),2024-09-30 01:00:48,Instagram media sosial dengan tampilan yang sederhana tidak terlalu banyak iklan
Boim 97,2024-09-30 00:58:39,Mntepp
shafira amelia,2024-09-30 00:56:52,Bermanfaat dan sangat membantu
Herlinda Linda,2024-09-30 00:56:42,Bisa di gunakan untuk ma foto
Revi Ralvianti,2024-09-30 00:56:27,Huhuko
Afiev Saefuddin,2024-09-30 00:47:59,"Instagram mudah sekali kasih hukuman akun. Saya tidak melakukan ujaran kebencian, hinaan, rasis dan lain lain. Kenapa selalu kena hukum?"
Rianda Riantika,2024-09-30 00:46:47,"Tolong Instagram nya ini kenapa ""sedang menyiapkaan bahasa indonesia"" gk bisa bisa,tolong dong"
R A M A,2024-09-30 00:39:51,@alrafaelrama
ninola,2024-09-30 00:38:33,"akun instagram saya sudah 3 hari tidak bisa login. Saat ingin login diberi info ada masalah tak terduga. Tolong dr pihak instagram jgn dibuat susah akun yg ingin login !!!! kalau begini caranya, semua pada tidak bisa menikmati aplikasi ini"
Eko Yanato,2024-09-30 00:37:30,Mntp lah buat tambah teman
Christofelkaloh apriliano,2024-09-30 00:33:04,Okok aja
Ulhu Fiahun,2024-09-30 00:30:59,Rempong
Deni Andriyana,2024-09-30 00:23:32,Mantap pokoknya
Meis Anace,2024-09-30 00:23:27,bagus
Jalil,2024-09-30 00:10:46,Terbaik
Yudi Siswanto,2024-09-30 00:09:36,Good
Dell,2024-09-30 00:06:58,Sorry gw rate bintang 1 krn fitur arsip mau di hapus -_- bakal gue ubah jd bintang 5 klo fitur arsip gk kd di hapus
Ona aprilia Werluka,2024-09-30 00:06:52,Kurang bagus karena saya tidak bisa menggunakan filter disaat memgabdet ulang aplikasi Instagram
Emil19 UstadzahYellow,2024-09-30 00:01:04,"Instagram saya tidak bisa memakai template, padahal sudah lihat caranya di yt atau tt tapi ttep tidak bisa, sudah dengan cara bantuan di fitur ig ny jga tapi tidak bisa terus di update jg udah tapi ga bisa jadi maaf ya saya kecewa setelah bertaun2 memakai ig tapi tidak bisa menggunakan template saya kecewa🥺"
Kin Lovers,2024-09-29 23:56:42,Instagram aplikasi terbaik untuk berbagi pengalaman dan kita juga bisa melihat foto/video dengan kualitas yang sangat bagus.
Irman Tiyo,2024-09-29 23:42:52,Jos
Rita Sarita,2024-09-29 23:42:32,Ook
Fitria Fitria,2024-09-29 23:40:41,Lumayan ya saat dimainin tapi agak ngelek sedikit
Rafini Tani,2024-09-29 23:36:52,Bnya pelajaran dan pengalaman yang gua dapet
citra Ningsih,2024-09-29 23:29:48,jangan hapus archive dan story tolong. kalian setuju archive dan story Instagram dihapus
Muhammad fateh Radjasa,2024-09-29 23:25:23,Muhammad Fateh Sarah Khaakaa Bus Sri Sofia Poniman Papa Dedi Irawan lbu Hendika Sari Dyah Pak Ubay
Aris Karisma,2024-09-29 23:25:02,Good
Projo Dewanto,2024-09-29 23:23:42,Oke
ahmad babri kaban,2024-09-29 23:16:50,Cool apps
Kna571_,2024-09-29 23:12:48,Kalau bisa tambahkan fitur yang bisa melihat orang yang unfollow kita
Rena Ta,2024-09-29 22:59:49,"sebelum bagus baik malah tapi kok tiba - tiba akun aku ditangguhkan padhal ga ngelanggar panduan komunitas Instagram mana pas dibenerin ga bisa ""terlalu banyak kode sms anda harus menunggu 24 jam untuk kode lain lagi"" Padhal udah nunggu 24 jam lo"
Ermawati Hapas (Emma),2024-09-29 22:58:37,Mantullll
aulia cholisa,2024-09-29 22:58:30,"For our favorite applications Please, think again to remove the Archive feature on Instagram. Bcs, Archive feature is very needed to save many precious moments. I would give 5 stars if the archives weren't lost!!!"
Megaselvia AMMSSA,2024-09-29 22:56:44,Ok
kareen Alina,2024-09-29 22:56:02,Keren
Pasha Crs,2024-09-29 22:55:40,WOI LAHH IGG INI KNPA STORY GA MUNCUL DI ARSIP PLSS LAAA
Adi Mea,2024-09-29 22:51:32,"Tolong dong ini pihak instagram, instagram saya belum ada uptade baru, jadi instagram sya masi yg lama"
Sukmawati Sukmawati,2024-09-29 22:47:01,Baik
Febry Danuarta,2024-09-29 22:36:25,"Sering bug,bugnya di perbaiki dong bgg"
sitta Zahratul,2024-09-29 22:33:08,"fiturr lagu di profil hilang, padahal d akun lainnya masih ada, tolong jelasin kenapa"
Emant Magiima,2024-09-29 22:31:28,Kren dan simpel
Moli Tkn,2024-09-29 22:12:57,Good
Aurellia Sandi Budiono,2024-09-29 22:12:17,"Gajelas banget tiba"" akun di banned tanpa alasan yang jelas, padahal itu udah akun lama"
Maulana IM,2024-09-29 22:11:19,makin gaberes ig
fittra kr24,2024-09-29 22:09:53,Suatu hal yang sangat bermanfaat saat menggunakan Instagram untuk mengembangkan hobi kita dll karena bisa terhubung dengan Facebook dengan mudah dan instan terimakasih Instagram semoga lebih maju dan lebih canggih lagi untuk layanan fitur fitur barunya
dindaaptrii,2024-09-29 22:03:09,pls jgn ilangin arsip
Arman maulana,2024-09-29 21:53:59,Aplikasi Ig nya sangat bagus puas banget
Indriawati Fitriya,2024-09-29 21:40:54,Ok
Haidar Ali,2024-09-29 21:27:08,sangat bagus
Xllgstn 08,2024-09-29 21:19:57,Kurang puas
Chamidah Yudi,2024-09-29 21:03:07,Mantaaap siip
Yogi Bangko,2024-09-29 20:21:43,Good
Anjani Fadlan,2024-09-29 20:10:23,"Admin, kenapa akun saya banyak yang follow tapi followers tidak terbaca. Misal follsnya 8.990, lalu tiap hari banyak yang follow, tetap stuck di angka itu, gak naik. Bahkan terkadang naik turun"
Aini Delina,2024-09-29 20:07:13,Bangu
Panglima Street,2024-09-29 20:01:12,Mengapa fitur pencapaian saya pada dasbor profesional tidak ada ???
Edah Siti,2024-09-29 19:57:17,Bagus
Rezha,2024-09-29 19:54:22,jangan hapus sistem arsip itu paling berguna bagi sayaa
Langit Biru,2024-09-29 19:52:33,Sangat bagus
Plaat E,2024-09-29 19:27:41,Membantu
Ali Kurnia,2024-09-29 19:27:34,Media Sosial yg bagus.. untuk mendokumentasikan Moment kita
Kiki Husen,2024-09-29 19:17:21,saya pakai akun FB kenapa tiba2 keluar sendiri tolong ampilkasi ini
JOKER RASs,2024-09-29 19:16:07,Yess not good
Maura Ratu,2024-09-29 19:12:36,Sangat baguss Ttp berikan yg terbaik buat kami
Dewi Fortuna,2024-09-29 18:49:57,Good
Gigin Ginanjar,2024-09-29 18:35:15,Good
Ope Linggar,2024-09-29 18:33:46,Semoga mengasik kan
Cherbond Motor,2024-09-29 18:30:36,"Kendala dalam perjalanan kerap dialami oleh pengendara mobil sehingga terkadang membutuhkan pertolongan darurat dalam waktu singkat agar dapat melanjutkan perjalanan. Dalam hal ini, konsumen bisa memanfaatkan layanan bengkel panggilan 24 jam dengan sistem storing.Pasalnya, tidak semua bengkel membuka layanan tersebut. Khusus di Bandung, ada layanan bengkel panggilan 24 jam yang dapat membuat konsumen sedikit lega bila sempat terjadi kendala di jalan.Bengkel mobil Cherbond Motor adalah solusinya"
Ade novian Saputra,2024-09-29 18:20:02,Good
Aprillia Sopian,2024-09-29 18:08:30,"Instagram sekarang ga jelas, cuma komen di giveaway doang MELANGGAR!"
shamira aldira,2024-09-29 18:05:41,"abis di update malah lemottt bgtttttt, padahal sinya l aman aplg kouta aman bangett tolonglahhhhh"
benidictus tambayong,2024-09-29 18:03:07,Saya Puas sebab banyak sahabat saya temui di IG
Hendra Hermawan,2024-09-29 17:57:57,Sangat bagus
Amarkus Kustiawan,2024-09-29 17:53:25,Ok
Yongga Tindih,2024-09-29 17:41:38,Baik
Muhammad iqbal,2024-09-29 17:39:35,sangat bagus
Iyuk Ama,2024-09-29 17:36:50,Good
Muhammad Azmi,2024-09-29 17:33:34,asal komen dikit di batasi gajelas lu
Boy Roni,2024-09-29 17:32:01,Bgus
Ramuzni Khan,2024-09-29 17:31:20,Please jgn hapus arsip d ig
Debby natalia,2024-09-29 17:28:30,Bagus sih bagus cuma ga bisa di update
Ahmad Aom Official,2024-09-29 17:21:42,Cakep aplikasi yang berkualitas.
Niko Hermansyah,2024-09-29 17:19:06,mantap
Habib Lutfi,2024-09-29 17:10:29,"kureng bgt skrng, update kek pas mau bikin sg masak blur,pdhl di wa ga se blur itu,selain ituu tolong dong,masak tiba tiba akun gw ke suspend"
Marcell Satriya,2024-09-29 17:08:00,good
Balqiss,2024-09-29 17:04:26,"Menurutku, semuanya udah bagus KECUALI. KALAU MAU POSTING ITU DAN UKURAN NYA GAK SESUAI DENGAN UKURAN BASE/DASAR DRI INSTA PASTI GAMBARNYA KEPOTONG AJGDJSHDJBSJD PLS LAH YA INSTAGRAM UDH BANYAK ARTWORK KU KEPOTONG GARA2 INI"
Pingki Mauludiah,2024-09-29 17:03:13,"kasi bintang 2 dulu, bintang 5nya nanti kalo fitur arsip g jdi diilangin"
Ulul azmi,2024-09-29 16:59:06,Kurang bagus
PUTRI ALYA,2024-09-29 16:58:37,pleaseee font terbaru tolong kasih ke akun kedua jg :(
teddy toegiman,2024-09-29 16:56:24,Mantap
Ayu Angelina Firdaus,2024-09-29 16:56:16,"Saya sangat suka Instagram, tapi mengapa fitur arsip harus dihapuskan. Itu benar-benar sangat merugikan, saya sangat kecewa."
Benny Rb,2024-09-29 16:55:17,Matappppppp!!!
Mikael Saragih,2024-09-29 16:54:01,Masih
sefry ajh,2024-09-29 16:50:59,sya ksih bintang 6
ade dais,2024-09-29 16:38:36,Keren kameranya
Aril Setiawan,2024-09-29 16:27:11,"Tolong untuk fitur arsip jangan di hilangkan, karena di situ banyak kenangan indah yang tidak bisa terulang"
Yogie Tryas Permana,2024-09-29 16:24:26,Tak bisa pilih lagu
Bang azam Azka,2024-09-29 16:23:59,Sangat membantu saya
Anjana denbond,2024-09-29 16:23:07,Top
Sayang Nurul03,2024-09-29 16:21:54,Ok
eko eko,2024-09-29 16:16:26,"kenapa banned akun sembarangan?? saya cuma mengunci akun saya karna privasi, malah di banned,,, kebijakan tolol macam apa itu"
herlina dassliee,2024-09-29 16:11:52,Instagram sngt membantu saya.
Candra Ponsel,2024-09-29 16:11:51,Baguss
Airin Cks,2024-09-29 16:07:58,good
Fitri Yani,2024-09-29 16:07:09,"Please,think again to remove the archive feature on instagram.because archive feature is very needed to save many precious moments🥲"
rino rinerta,2024-09-29 16:06:59,Oke sih
Deri Asala putra,2024-09-29 16:06:21,Bantu fyp kun saya
Sisil sipiu,2024-09-29 16:03:06,Tingkatkan lagi kualitas foto HD maupun video 🙏🏻
Arroyyania Wifdan,2024-09-29 16:02:39,yang bener kalo ada laporan pelanggaran...gada ap ap akun gw ga bisa masuk suruh kirim code kaga di kirim apk gajelas
Rasyid Nur Sidik,2024-09-29 16:00:06,ko forclose mulu sih cebell
dimas akbar,2024-09-29 15:58:13,kereeeeeen
Denny Degei,2024-09-29 15:56:48,Sangat spesial
Irsyadul Ibad,2024-09-29 15:56:28,Sangat baguss .tolong kondisikan iklan dengan baik dan sopan
Siti halimatus Sa'diyah,2024-09-29 15:53:40,"di fitur edit story, font pembaruan tidak muncul"
Bambang Riyan,2024-09-29 15:52:38,Ok. Ok. Ok
Asep Kusnadi,2024-09-29 15:50:16,Mantap
Lutfi Asslaam,2024-09-29 15:48:47,Nih ya udh aku kasih bintang lima tapi fitur arsip nya jangan di ilangin ya pliisss
Ahmad Salim Bani,2024-09-29 15:48:22,Bagus.
Hadi Prabowo,2024-09-29 15:47:57,I like it..Instagram oke.
Reza Supiandi,2024-09-29 15:47:01,Bagus
ABD ROCHIM,2024-09-29 15:44:24,Apl baguus diintal langsul bisa
Voiddz,2024-09-29 15:42:06,"INSTAGRAM HARUS TAMBAHKAN FITUR HISTORY SIH, PLEASE PASTI AKAN SANGAT MEMBANTU BANGET 🙏🙏ketika sedang scrolling ketemu konten bagus suka sering banget ke refresh soalnya 🙏"
zulpiiikarr 019,2024-09-29 15:37:43,"sangat buruk sakalih,bleeee bleeee bleeee"
Khalid 22,2024-09-29 15:36:56,Balikin fitur history anj
Wandi Herwandi,2024-09-29 15:31:35,Mantul aplikasinya saran saya lebih ditikatkan lagi kinerjanya
Siti Nurjanah,2024-09-29 15:29:16,"Apk baguss, cuma aku mau minta permintaan buatin fitur baru dong kak, biar lebih privasi foto pp IG bisa dikunci, soalnya pengalaman aku sampe ada orang lain pake identitas dan foto aku disebarkn Buat fitur lebih kekinian ya kak , Terimakasih😊"
Anggun 123,2024-09-29 15:29:09,apk soakk
